year,deaths,miles_traveled,rate
1985,43825,1774762,2.47
1986,46087,1838240,2.51
1987,46390,1924327,2.41
1988,47087,2025586,2.32
1989,45582,2107040,2.16
1990,44599,2147501,2.08
1991,41508,2172214,1.91
1992,39250,2239828,1.75
1993,40150,2296585,1.75
1994,40716,2357588,1.73
1995,41817,2422775,1.73
1996,42065,2482202,1.69
1997,42013,2560373,1.64
1998,41501,2625367,1.58
1999,41717,2691335,1.55
2000,41945,2749803,1.53
2001,42196,2781462,1.52
2002,43005,2855756,1.51
2003,42884,2890893,1.48
2004,42836,2962513,1.45
2005,43510,2989807,1.46
2006,42708,3014116,1.42
2007,41259,3032399,1.36
2008,37423,2973509,1.26
2009,33883,2977591,1.14
2010,32999,2966506,1.11
2011,32479,2946131,1.1
2012,33782,2969433,1.14
2013,32894,2988280,1.1
2014,32744,3025656,1.08
